North Court,0,12:18 PM,0,11/28/2022,03:17 PM,Open,0,03:17 PM,0,04:02 PM,4,04:02 PM
Recreation Pool,3,03:01 PM,3,11/28/2022,03:01 PM,Open,3,03:01 PM,3,04:01 PM,1,04:01 PM
Competition Pool,0,03:01 PM,0,11/28/2022,03:01 PM,Open,0,03:01 PM,0,04:01 PM,2,04:01 PM
Arc Express,17,03:04 PM,12,11/28/2022,03:04 PM,Open,12,03:33 PM,26,04:02 PM,39,04:32 PM
Spa,0,01:03 PM,0,11/28/2022,01:03 PM,Closed,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,1,03:01 PM,0,11/28/2022,03:01 PM,Open,0,03:01 PM,0,04:01 PM,1,04:01 PM
Tennis Courts,0,04:58 PM,0,11/27/2022,04:58 PM,Closed,0,04:58 PM,0,04:58 PM,0,04:58 PM
Arc Floor One,04:56 PM,127,04:56 PM,127,11/28/2022,05:16 PM,Open,145,05:16 PM,145,05:16 PM,145
Climbing,04:56 PM,22,04:56 PM,22,11/28/2022,05:16 PM,Open,17,05:16 PM,17,05:16 PM,17
Arc Olympic Lifting Zones,04:56 PM,64,04:56 PM,64,11/28/2022,05:16 PM,Open,85,05:16 PM,85,05:16 PM,85
Arc Floor Two,04:56 PM,81,04:56 PM,81,11/28/2022,05:16 PM,Open,105,05:16 PM,105,05:16 PM,105
South Court,03:17 PM,0,03:17 PM,0,11/28/2022,05:16 PM,Open,0,05:16 PM,0,05:16 PM,0
Four Court Gym,04:02 PM,13,04:02 PM,13,11/28/2022,05:17 PM,Open,36,05:17 PM,36,05:17 PM,36
North Court,04:02 PM,4,04:02 PM,4,11/28/2022,05:17 PM,Open,0,05:17 PM,0,05:17 PM,0
Recreation Pool,04:01 PM,1,04:01 PM,1,11/28/2022,05:15 PM,Open,5,05:15 PM,5,05:15 PM,5
Competition Pool,04:01 PM,2,04:01 PM,2,11/28/2022,05:15 PM,Open,14,05:15 PM,14,05:15 PM,14
Arc Express,04:32 PM,39,05:02 PM,34,11/28/2022,05:02 PM,Open,34,05:30 PM,39,05:59 PM,37
Spa,01:03 PM,0,01:03 PM,0,11/28/2022,01:03 PM,Closed,0,01:03 PM,0,01:03 PM,0
Aquaplex Pool Deck,04:01 PM,1,04:01 PM,1,11/28/2022,05:15 PM,Open,2,05:15 PM,2,05:15 PM,2
Tennis Courts,04:58 PM,0,04:58 PM,0,11/28/2022,05:15 PM,Open,10,05:15 PM,10,05:15 PM,10
Arc Floor One,05:16 PM,145,05:16 PM,145,05:16 PM,145,07:23 PM,143,07:23 PM,143,07:23 PM,07:23 PM
Climbing,05:16 PM,17,05:16 PM,17,05:16 PM,17,07:23 PM,17,07:23 PM,17,07:23 PM,07:23 PM
